0.68,23,1046
0.68,22,1016
0.62,22,1137
0.68,26,1135
0.62,23.5,1171
0.62,21.5,1137
0.67,21,1025
0.67,24,1101
0.67,24,1151
0.68,24,1123
0.62,27,1296
0.62,26,1272
0.62,27,1243
0.62,27,1243
0.62,27,1279
0.68,24,1121
0.67,26,1167
0.68,24,1111
0.67,24,1127
0.62,26,1237
0.65,27,1206
0.62,24,1168
0.62,27,1243
0.62,27,1223
0.67,26.5,1171
0.68,25,1127
0.68,24,1126
0.62,25.5,1182
0.62,26,1228
0.62,26,1228
0.62,25.3,1201
0.62,23,1182
0.62,24,1168
0.62,24,1168
0.68,29,1229
0.68,26,1169
0.62,26.5,1241
0.68,24,1117
0.68,24,1127
0.65,26,1244
0.62,27,1254
0.62,27,1264
0.67,25,1151
0.68,25,1153
0.68,24,1112
0.68,25,1164
0.62,27,1262
0.62,26,1216
0.62,24,1172
0.7,21,1000
0.62,25,1185
0.62,25,1196
0.68,25,1168
0.62,27,1251
0.65,25,1250
0.68,28,1224
0.65,26,1265
0.7,24,1089
0.68,23,1072
0.65,25,1238
0.65,25,1233
0.65,25,1202
0.68,26,1134
0.68,24,1087
0.68,23,1084
0.68,24,1110
0.68,25,1156
0.68,24,1153
0.68,25,1150
0.68,25,1125
0.67,24,1159
0.68,24.2,1141
0.67,24,1150
0.68,22,1075
0.66,24,1138
0.7,24,1054
0.7,25,1124
0.68,21,1047
0.68,24,1060
0.68,21,1030
0.68,25,1200
0.65,25,1236
0.65,24,1186
0.65,25,1210
0.68,26,1219
0.68,26,1187
0.68,25,1148
0.68,26,1187
0.66,29.2,1283
0.68,29.4,1220
0.68,29.4,1220
0.67,27,1245
0.68,27,1182
0.68,27,1179
0.68,27,1181
0.68,26.5,1210
0.68,26,1160
0.68,24,1126
0.66,22,1151
0.67,26,1200
0.68,27,1168
